feature,category,customers,churned,churn_rate_pct
gender,Female,3488,939,26.92
gender,Male,3555,930,26.16
SeniorCitizenLabel,No,5901,1393,23.61
SeniorCitizenLabel,Yes,1142,476,41.68
Partner,No,3641,1200,32.96
Partner,Yes,3402,669,19.66
Dependents,No,4933,1543,31.28
Dependents,Yes,2110,326,15.45
PhoneService,No,682,170,24.93
PhoneService,Yes,6361,1699,26.71
MultipleLines,No,3390,849,25.04
MultipleLines,No phone service,682,170,24.93
MultipleLines,Yes,2971,850,28.61
InternetService,DSL,2421,459,18.96
InternetService,Fiber optic,3096,1297,41.89
InternetService,No,1526,113,7.4
OnlineSecurity,No,3498,1461,41.77
OnlineSecurity,No internet service,1526,113,7.4
OnlineSecurity,Yes,2019,295,14.61
OnlineBackup,No,3088,1233,39.93
OnlineBackup,No internet service,1526,113,7.4
OnlineBackup,Yes,2429,523,21.53
DeviceProtection,No,3095,1211,39.13
DeviceProtection,No internet service,1526,113,7.4
DeviceProtection,Yes,2422,545,22.5
TechSupport,No,3473,1446,41.64
TechSupport,No internet service,1526,113,7.4
TechSupport,Yes,2044,310,15.17
StreamingTV,No,2810,942,33.52
StreamingTV,No internet service,1526,113,7.4
StreamingTV,Yes,2707,814,30.07
StreamingMovies,No,2785,938,33.68
StreamingMovies,No internet service,1526,113,7.4
StreamingMovies,Yes,2732,818,29.94
Contract,Month-to-month,3875,1655,42.71
Contract,One year,1473,166,11.27
Contract,Two year,1695,48,2.83
PaperlessBilling,No,2872,469,16.33
PaperlessBilling,Yes,4171,1400,33.57
PaymentMethod,Bank transfer (automatic),1544,258,16.71
PaymentMethod,Credit card (automatic),1522,232,15.24
PaymentMethod,Electronic check,2365,1071,45.29
PaymentMethod,Mailed check,1612,308,19.11
